zona_eleitoral,codigo_zona_eleitoral,estado,municipio,codigo_municipio
0008,8,AC,ACRELÂNDIA,01120
0006,6,AC,ASSIS BRASIL,01570
0006,6,AC,BRASILÉIA,01058
0009,9,AC,BUJARI,01007
0002,2,AC,CAPIXABA,01015
0004,4,AC,CRUZEIRO DO SUL,01074
0006,6,AC,EPITACIOLÂNDIA,01112
0007,7,AC,FEIJÓ,01139
0005,5,AC,JORDÃO,01104
0003,3,AC,MANOEL URBANO,01554
0004,4,AC,MARECHAL THAUMATURGO,01040
0004,4,AC,MÂNCIO LIMA,01090
0008,8,AC,PLÁCIDO DE CASTRO,01511
0001,1,AC,PORTO ACRE,01023
0004,4,AC,PORTO WALTER,01066
0009,9,AC,RIO BRANCO,01392
0001,1,AC,RIO BRANCO,01392
0004,4,AC,RODRIGUES ALVES,01082
0003,3,AC,SANTA ROSA DO PURUS,01031
0003,3,AC,SENA MADUREIRA,01457
0008,8,AC,SENADOR GUIOMARD,01538
0005,5,AC,TARAUACÁ,01473
0002,2,AC,XAPURI,01490
0048,48,AL,ANADIA,27030
0022,22,AL,ARAPIRACA,27057
0055,55,AL,ARAPIRACA,27057
0006,6,AL,ATALAIA,27073
0017,17,AL,BARRA DE SANTO ANTÔNIO,27090
0026,26,AL,BARRA DE SÃO MIGUEL,27111
0029,29,AL,BATALHA,27138
0029,29,AL,BELO MONTE,27170
0028,28,AL,BELÉM,27154
0048,48,AL,BOCA DA MATA,27197
0009,9,AL,BRANQUINHA,27219
0046,46,AL,CACIMBINHAS,27235
0005,5,AL,CAJUEIRO,27251
0053,53,AL,CAMPESTRE,27081
0047,47,AL,CAMPO ALEGRE,27278
0020,20,AL,CAMPO GRANDE,27294
0027,27,AL,CANAPI,27316
0006,6,AL,CAPELA,27332
0019,19,AL,CARNEIROS,27359
0028,28,AL,CHÃ PRETA,27375
0045,45,AL,COITÉ DO NÓIA,27391
0016,16,AL,COLÔNIA LEOPOLDINA,27413
0008,8,AL,COQUEIRO SECO,27430
0007,7,AL,CORURIPE,27456
0031,31,AL,CRAÍBAS,28894
0040,40,AL,DELMIRO GOUVEIA,27472
0046,46,AL,DOIS RIACHOS,27499
0046,46,AL,ESTRELA DE ALAGOAS,27049
0049,49,AL,FEIRA GRANDE,27510
0007,7,AL,FELIZ DESERTO,27537
0053,53,AL,FLEXEIRAS,27553
0044,44,AL,GIRAU DO PONCIANO,27570
0016,16,AL,IBATEGUARA,27596
0045,45,AL,IGACI,27618
0037,37,AL,IGREJA NOVA,27634
0039,39,AL,INHAPI,27650
0029,29,AL,JACARÉ DOS HOMENS,27677
0014,14,AL,JACUÍPE,27693
0014,14,AL,JAPARATINGA,27715
0044,44,AL,JARAMATAIA,27731
0018,18,AL,JEQUIÁ DA PRAIA,27065
0053,53,AL,JOAQUIM GOMES,27758
0014,14,AL,JUNDIÁ,27774
0034,34,AL,JUNQUEIRO,27790
0044,44,AL,LAGOA DA CANOA,27812
0047,47,AL,LIMOEIRO DE ANADIA,27839
0002,2,AL,MACEIÓ,27855
0003,3,AL,MACEIÓ,27855
0033,33,AL,MACEIÓ,27855
0001,1,AL,MACEIÓ,27855
0054,54,AL,MACEIÓ,27855
0031,31,AL,MAJOR ISIDORO,27871
0005,5,AL,MAR VERMELHO,27979
0014,14,AL,MARAGOGI,27898
0050,50,AL,MARAVILHA,27910
0026,26,AL,MARECHAL DEODORO,27936
0048,48,AL,MARIBONDO,27952
0027,27,AL,MATA GRANDE,27995
0012,12,AL,MATRIZ DE CAMARAGIBE,28010
0009,9,AL,MESSIAS,28037
0046,46,AL,MINADOR DO NEGRÃO,28053
0029,29,AL,MONTEIRÓPOLIS,28070
0009,9,AL,MURICI,28096
0053,53,AL,NOVO LINO,28118
0011,11,AL,OLHO D&apos;ÁGUA DAS FLORES,28134
0040,40,AL,OLHO D&apos;ÁGUA DO CASADO,28150
0037,37,AL,OLHO D&apos;ÁGUA GRANDE,28177
0019,19,AL,OLIVENÇA,28193
0050,50,AL,OURO BRANCO,28215
0011,11,AL,PALESTINA,28231
0010,10,AL,PALMEIRA DOS ÍNDIOS,28258
0039,39,AL,PARICONHA,27022
0017,17,AL,PARIPUEIRA,27006
0012,12,AL,PASSO DE CAMARAGIBE,28290
0028,28,AL,PAULO JACINTO,28312
0013,13,AL,PENEDO,28339
0013,13,AL,PIAÇABUÇU,28355
0008,8,AL,PILAR,28371
0005,5,AL,PINDOBA,28398
0040,40,AL,PIRANHAS,28410
0014,14,AL,PORTO CALVO,28452
0012,12,AL,PORTO DE PEDRAS,28479
0037,37,AL,PORTO REAL DO COLÉGIO,28495
