zona_eleitoral,municipio,estado,brancos,nulos,abstencao,votos_22,votos_13,votos_15,votos_12,votos_44,votos_30,votos_14,votos_16,votos_21,votos_80,votos_27
8,ACRELÂNDIA,AC,45,130,2228,5238.0,1516.0,192.0,117.0,37.0,11.0,6.0,1.0,,,
6,ASSIS BRASIL,AC,22,126,1371,2694.0,2003.0,109.0,44.0,11.0,2.0,2.0,5.0,1.0,,
6,BRASILÉIA,AC,116,283,3658,9143.0,4171.0,496.0,249.0,53.0,12.0,4.0,2.0,4.0,1.0,3.0
9,BUJARI,AC,70,199,2415,4505.0,2130.0,356.0,197.0,58.0,5.0,9.0,1.0,2.0,,
2,CAPIXABA,AC,36,119,1670,3944.0,1630.0,264.0,120.0,46.0,6.0,,,1.0,,
4,CRUZEIRO DO SUL,AC,487,975,12529,30977.0,10770.0,1883.0,1267.0,171.0,72.0,31.0,6.0,18.0,4.0,2.0
6,EPITACIOLÂNDIA,AC,73,198,2576,6494.0,2592.0,377.0,142.0,46.0,4.0,6.0,2.0,2.0,1.0,
7,FEIJÓ,AC,116,518,6896,6191.0,7930.0,635.0,373.0,69.0,11.0,2.0,1.0,6.0,2.0,
5,JORDÃO,AC,6,124,1446,1515.0,2213.0,157.0,120.0,6.0,2.0,2.0,1.0,2.0,,
3,MANOEL URBANO,AC,37,189,2014,3141.0,2095.0,126.0,114.0,47.0,3.0,2.0,,5.0,,1.0
4,MARECHAL THAUMATURGO,AC,31,190,3081,4146.0,3238.0,433.0,225.0,10.0,1.0,3.0,1.0,1.0,1.0,
4,MÂNCIO LIMA,AC,82,240,3205,6469.0,3236.0,331.0,155.0,32.0,8.0,6.0,1.0,4.0,1.0,1.0
8,PLÁCIDO DE CASTRO,AC,80,212,2588,6209.0,2442.0,489.0,189.0,43.0,11.0,6.0,,1.0,,
1,PORTO ACRE,AC,91,229,2600,7062.0,2490.0,463.0,168.0,53.0,12.0,6.0,1.0,3.0,,1.0
4,PORTO WALTER,AC,36,116,1579,2143.0,2660.0,451.0,214.0,27.0,1.0,6.0,,1.0,,
1,RIO BRANCO,AC,1305,2286,29143,65672.0,27010.0,5376.0,3271.0,646.0,275.0,75.0,27.0,28.0,28.0,22.0
9,RIO BRANCO,AC,1371,2270,26808,64721.0,26550.0,5146.0,3607.0,668.0,325.0,79.0,18.0,52.0,24.0,9.0
4,RODRIGUES ALVES,AC,59,169,2695,6551.0,1839.0,263.0,165.0,35.0,8.0,3.0,,1.0,,1.0
3,SANTA ROSA DO PURUS,AC,15,77,1158,1028.0,1357.0,58.0,44.0,26.0,3.0,2.0,,,,
3,SENA MADUREIRA,AC,185,486,7852,14317.0,5811.0,973.0,473.0,163.0,23.0,19.0,1.0,3.0,1.0,2.0
8,SENADOR GUIOMARD,AC,137,328,3597,9134.0,3523.0,654.0,349.0,75.0,14.0,3.0,,2.0,,1.0
5,TARAUACÁ,AC,196,603,8312,9146.0,8042.0,671.0,543.0,78.0,10.0,5.0,8.0,4.0,,1.0
2,XAPURI,AC,68,255,2414,5142.0,3774.0,219.0,168.0,44.0,6.0,2.0,1.0,3.0,1.0,
48,ANADIA,AL,142,290,3636,1797.0,6234.0,274.0,211.0,45.0,8.0,18.0,3.0,3.0,,
22,ARAPIRACA,AL,1360,2041,19120,29198.0,39502.0,2437.0,2450.0,449.0,99.0,148.0,15.0,31.0,11.0,3.0
55,ARAPIRACA,AL,655,1170,9705,19258.0,19929.0,1501.0,1447.0,281.0,59.0,78.0,4.0,10.0,8.0,9.0
6,ATALAIA,AL,373,674,7692,7105.0,13894.0,964.0,422.0,142.0,20.0,42.0,5.0,7.0,2.0,1.0
17,BARRA DE SANTO ANTÔNIO,AL,149,285,2810,3400.0,5358.0,292.0,171.0,37.0,9.0,9.0,1.0,5.0,1.0,
26,BARRA DE SÃO MIGUEL,AL,74,148,1195,2769.0,2739.0,198.0,146.0,37.0,5.0,9.0,1.0,1.0,,
29,BATALHA,AL,109,218,3138,2727.0,6244.0,345.0,197.0,64.0,8.0,9.0,1.0,1.0,1.0,
